Kode_Wisata,Jumlah_Ulasan,Latitude,Longitude
WS00001,13331,-6.383701185,106.7719268
WS00002,1289,-7.73692363,108.4977266
WS00003,0,-6.737173208,108.542758
WS00004,4253,-6.991857195,107.0560588
WS00005,1249,-7.017164515,107.0967358
WS00006,1115,-6.90551275,108.3291847
WS00007,1,-6.735161308,107.65731
WS00008,608,-6.786626301,108.4189544
WS00009,727,-6.946764623,108.4328612
WS00010,1931,-7.191829391,107.2344156
WS00011,65796,-6.72043077,106.9508677
WS00012,16734,-6.725799418,108.570837
WS00013,4254,-6.918066615,108.3451092
WS00014,991,-6.802456254,106.4983043
WS00015,0,-6.056706149,107.1546634
WS00016,3795,-6.579380433,107.2301053
WS00017,1970,-6.306262018,107.2791304
WS00018,21,-6.54176805,107.2543515
WS00019,3575,-6.545657098,107.2345266
WS00020,832,-6.180954238,107.2925562
WS00021,1549,-6.050804553,107.4078228
WS00022,605,-6.398408295,107.3996777
WS00023,3806,-5.971009507,107.1276835
WS00024,345,-6.527778603,107.252362
WS00025,6360,-6.956832614,106.4656209
WS00026,3903,-7.668131148,107.6968977
WS00027,260,-7.810219082,108.3052854
WS00028,729,-6.423045603,108.4412635
WS00029,1297,-7.69759402,108.5173998
WS00030,2059,-7.318665382,107.7310494
WS00031,2305,-7.265495855,108.0714521
WS00032,3986,-6.580114213,106.9035471
WS00033,1389,-6.892204113,108.406452
WS00034,7456,-6.717290014,108.5733372
WS00035,6761,-6.70119405,108.508303
WS00036,4271,-6.725441102,108.5702416
WS00037,3531,-6.722100085,108.5678133
WS00038,2115,-6.724379917,108.5652474
WS00039,90,-6.72107625,108.569333
WS00040,4929,-6.733415886,108.5857803
WS00041,904,-6.77317267,108.4839784
WS00042,12209,-6.737125268,108.5427902
WS00043,12382,-6.153287358,106.9758186
WS00044,2588,-6.392883602,107.1028504
WS00045,2976,-6.295048761,107.2408215
WS00046,378,-5.92287995,107.0473078
WS00047,7729,-6.311313937,107.1801838
WS00048,5556,-6.246651648,107.0519945
WS00049,10205,-6.297592858,107.0509386
WS00050,347,-6.296967712,107.0458989
WS00051,20,-6.455736336,107.1904566
WS00052,240,-6.462164123,107.1709824
WS00053,339,-6.627933715,106.9912788
WS00054,775,-6.795619561,107.5757778
WS00055,17876,-6.78497926,107.6516019
WS00056,66368,-6.832697358,107.6055647
WS00057,0,-6.789538916,107.5792056
WS00058,133,-6.697929796,106.4402778
WS00059,18668,-6.369938766,106.8933485
WS00060,6617,-6.370546905,106.7450924
WS00061,7073,-6.415700383,106.784514
WS00062,5905,-6.394337603,106.8088735
WS00063,4664,-6.888778693,107.5365264
WS00064,9512,-6.872935788,107.5423283
WS00065,2434,-6.848030437,107.5487417
WS00066,6313,-7.341734221,108.2146655
WS00067,400,-7.301945301,108.1967088
WS00068,6639,-7.369304615,108.5415219
WS00069,20,-7.361986395,108.5433595
WS00070,415,-7.366970033,108.4792581
WS00071,150,-7.370040376,108.5445115
WS00072,73,-7.398065199,108.5261581
WS00073,172,-6.787652124,108.4158131
WS00074,1119,-6.883548141,108.4770429
WS00075,632,-7.00671075,108.4139267
WS00076,0,-6.889130916,108.5033033
WS00077,1506,-6.896244599,108.4661969
WS00078,0,-6.94124902,108.4359638
WS00079,229,-7.055332476,108.7044375
WS00080,574,-6.96235403,108.4692827
WS00081,65796,-6.720550174,106.9508153
WS00082,126,-6.397549705,106.7027408
WS00083,7409,-6.70220068,106.9988928
